Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,122016,82,1488.0,1456.0,1312,1824,115.9,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<long, unsigned int, cuda::std::__4::plus<long>>, thrust::_V_300304_SM_890::transform_iterator<lfs::core::ops::is_nonzero_bool_op, thrust::_V_300304_SM_890::device_ptr<const unsigned char>, long, long>, unsigned int, cuda::std::__4::plus<long>, long, cuda::std::__4::identity>(T2, T5 *, T3, cub::_V_300304_SM_890::GridEvenShare<T3>, T4, T6)"
0.0,106110,90,1179.0,1120.0,1056,1408,88.2,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceSingleTileKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<long, unsigned int, cuda::std::__4::plus<long>>, long *, long *, int, cuda::std::__4::plus<long>, long, long, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.0,99616,30,3320.5,2368.0,1408,7776,1967.1,"void fast_lfs::optimizer::kernels::adam::joint_encode_zero_rows_cu<(int)16>(unsigned char *, const float *, const long *, int, int)"
0.0,66816,86,776.9,768.0,768,800,14.4,"void cub::_V_300304_SM_890::detail::scan::DeviceCompactInitKernel<cub::_V_300304_SM_890::ScanTileState<int, (bool)1>, long *>(T1, int, T2)"
0.0,36832,38,969.3,1024.0,768,1280,135.7,"void cub::_V_300304_SM_890::detail::scan::DeviceScanInitKernel<cub::_V_300304_SM_890::ScanTileState<unsigned int, (bool)1>>(T1, int)"
0.0,29152,2,14576.0,14576.0,12320,16832,3190.5,"lfs::training::kernels::long_axis_split_gaussians_inplace_kernel(float *, float *, float *, const float *, const float *, float *, float *, float *, float *, float *, float *, float *, const long *, int, int)"
0.0,23424,14,1673.1,1600.0,1440,2560,312.4,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<long, unsigned long long, cuda::std::__4::plus<void>>, thrust::_V_300304_SM_890::transform_iterator<lfs::core::tensor_ops::BoolToInt64Op, thrust::_V_300304_SM_890::device_ptr<const bool>, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default>, unsigned long long, cuda::std::__4::plus<void>, long, cuda::std::__4::identity>(T2, T5 *, T3, cub::_V_300304_SM_890::GridEvenShare<T3>, T4, T6)"
0.0,22047,2,11023.5,11023.5,10047,12000,1381.0,"lfs::training::mrnf_strategy::mrnf_decay_kernel(float *, float *, const bool *, unsigned long, float, float, float, unsigned long)"
0.0,19296,10,1929.6,1904.0,1760,2048,104.6,"void lfs::core::tensor_ops::vectorized_binary_kernel<lfs::core::ops::mul_op>(const float *, const float *, float *, unsigned long, T1)"
0.0,18880,4,4720.0,4720.0,4480,4960,196.4,"void cub::_V_300304_SM_890::detail::select::DeviceSelectSweepKernel<cub::_V_300304_SM_890::detail::select::policy_hub<long, float, int, (bool)0, (cub::_V_300304_SM_890::SelectImpl)0>::Policy1000, thrust::_V_300304_SM_890::counting_iterator<long, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::compile_time_value<(int)1>>, thrust::_V_300304_SM_890::device_ptr<const float>, thrust::_V_300304_SM_890::device_ptr<long>, long *, cub::_V_300304_SM_890::ScanTileState<int, (bool)1>, lfs::training::mrnf_strategy::<unnamed>::positive_weight, cub::_V_300304_SM_890::NullType, int, cub::_V_300304_SM_890::detail::select::streaming_context_t<long, (bool)1>, (cub::_V_300304_SM_890::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300304_SM_890::detail::vsmem_t)"
0.0,16672,12,1389.3,1392.0,1312,1472,50.1,"void lfs::core::tensor_ops::scatter_kernel<float>(T1 *, const int *, const T1 *, unsigned long, unsigned long, unsigned long, unsigned long, int)"
0.0,16480,4,4120.0,4144.0,3840,4352,214.5,"void cub::_V_300304_SM_890::detail::select::DeviceSelectSweepKernel<cub::_V_300304_SM_890::detail::select::policy_hub<long, unsigned char, int, (bool)0, (cub::_V_300304_SM_890::SelectImpl)0>::Policy1000, thrust::_V_300304_SM_890::counting_iterator<long, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::compile_time_value<(int)1>>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>, thrust::_V_300304_SM_890::device_ptr<long>, long *, cub::_V_300304_SM_890::ScanTileState<int, (bool)1>, lfs::core::ops::nonzero_bool_predicate, cub::_V_300304_SM_890::NullType, int, cub::_V_300304_SM_890::detail::select::streaming_context_t<long, (bool)1>, (cub::_V_300304_SM_890::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300304_SM_890::detail::vsmem_t)"
0.0,15520,14,1108.6,1040.0,992,1280,110.6,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceSingleTileKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<long, unsigned long long, cuda::std::__4::plus<void>>, long *, long *, int, cuda::std::__4::plus<void>, long, long, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.0,14496,8,1812.0,1824.0,1728,1888,59.1,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const unsigned char>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>, thrust::_V_300304_SM_890::device_ptr<unsigned char>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::ops::logical_or_op, unsigned char *, const unsigned char *, const unsigned char *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,13216,4,3304.0,3296.0,3232,3392,71.0,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<float, long, unsigned int>, (cub::_V_300304_SM_890::SortOrder)1, float, unsigned int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,12960,4,3240.0,3280.0,2912,3488,293.7,"lfs::training::mrnf_strategy::gumbel_key_for_indices_kernel(const float *, const long *, float *, unsigned long, unsigned long)"
0.0,12864,14,918.9,896.0,896,992,34.2,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const long>>, thrust::_V_300304_SM_890::device_ptr<int>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::tensor_ops::ConvertFunctor<long, int>, int *, const long *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,11584,2,5792.0,5792.0,5632,5952,226.3,"lfs::core::<unnamed>::gather_from_linear_kernel(float4 *, unsigned int, const float *, unsigned int, unsigned int, unsigned int)"
0.0,10528,6,1754.7,1760.0,1664,1824,65.3,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const unsigned char>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>, thrust::_V_300304_SM_890::device_ptr<unsigned char>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::ops::logical_and_op, unsigned char *, const unsigned char *, const unsigned char *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,10112,6,1685.3,1680.0,1664,1728,26.1,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const unsigned char>>, thrust::_V_300304_SM_890::device_ptr<float>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::tensor_ops::ConvertFunctor<unsigned char, float>, float *, const unsigned char *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,9984,4,2496.0,2480.0,2336,2688,171.3,"lfs::core::tensor_ops::<unnamed>::pointwise_chain_vec4_kernel(const float *, float *, unsigned long, lfs::core::tensor_ops::FusedPointwiseOpChain)"
0.0,8320,2,4160.0,4160.0,3872,4448,407.3,"lfs::core::<unnamed>::scatter_linear_kernel(float4 *, const int *, const float *, unsigned int, unsigned int, unsigned int)"
0.0,6976,2,3488.0,3488.0,3456,3520,45.3,"lfs::core::tensor_ops::warp_tiny_segment_reduce_min_kernel(const float *, float *, unsigned long, unsigned long)"
0.0,6912,4,1728.0,1712.0,1664,1824,69.1,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<long, unsigned int, cuda::std::__4::plus<long>>, thrust::_V_300304_SM_890::transform_iterator<lfs::training::mrnf_strategy::<unnamed>::positive_weight, thrust::_V_300304_SM_890::device_ptr<const float>, long, long>, unsigned int, cuda::std::__4::plus<long>, long, cuda::std::__4::identity>(T2, T5 *, T3, cub::_V_300304_SM_890::GridEvenShare<T3>, T4, T6)"
